Name,Birth Date,Phone Number,Citizen,Country,Zip Code,Year,Time,Longitude,Latitude,Father_Name,Birth Date,Phone Number,Citizen,Country,Zip Code,Year,Time,Longitude,Latitude,Mother_Name,Birth Date,Phone Number,Citizen,Country
Thomas,1990-08-24,(0113)4960222,False,Germany,48183,1994,14:01:05,157.365036,-55.4412055,Megan,1990-08-24,(0113)4960222,False,Germany,48183,1994,14:01:05,157.365036,-55.4412055,Maxwell,1990-08-24,(0113)4960222,False,Germany
Dennis,2000-08-26,+44(0)909 8790939,False,Jordan,57505,1971,13:14:00,125.777555,-59.0098515,Matthew,2000-08-26,+44(0)909 8790939,False,Jordan,57505,1971,13:14:00,125.777555,-59.0098515,Jerome,2000-08-26,+44(0)909 8790939,False,Jordan
Brad,1986-04-03,0191 4960084,False,Saint Martin,46978,1985,05:51:52,-160.454378,-22.8229165,Chad,1986-04-03,0191 4960084,False,Saint Martin,46978,1985,05:51:52,-160.454378,-22.8229165,Darren,1986-04-03,0191 4960084,False,Saint Martin
Michael,1999-09-24,(0113)4960011,False,Trinidad and Tobago,16282,1989,07:39:34,22.300730,-24.808236,Robin,1999-09-24,(0113)4960011,False,Trinidad and Tobago,16282,1989,07:39:34,22.300730,-24.808236,Kim,1999-09-24,(0113)4960011,False,Trinidad and Tobago
Robert,2015-01-03,09098790913,False,Sao Tome and Principe,46911,1998,17:04:00,25.669796,34.319025,William,2015-01-03,09098790913,False,Sao Tome and Principe,46911,1998,17:04:00,25.669796,34.319025,Jasmin,2015-01-03,09098790913,False,Sao Tome and Principe
Danielle,1979-06-08,+44(0)1514960106,True,Dominican Republic,95559,2000,22:18:47,83.543040,-15.7611535,Melinda,1979-06-08,+44(0)1514960106,True,Dominican Republic,95559,2000,22:18:47,83.543040,-15.7611535,Cindy,1979-06-08,+44(0)1514960106,True,Dominican Republic
Jose,2011-12-24,(0191) 4960779,False,Hungary,59245,1974,14:14:42,73.762669,-36.1868445,Michael,2011-12-24,(0191) 4960779,False,Hungary,59245,1974,14:14:42,73.762669,-36.1868445,Frederick,2011-12-24,(0191) 4960779,False,Hungary
Kathryn,2020-10-31,+44(0)141 496 0738,False,Pakistan,35823,2007,11:13:05,174.061585,45.862222,Nancy,2020-10-31,+44(0)141 496 0738,False,Pakistan,35823,2007,11:13:05,174.061585,45.862222,Margaret,2020-10-31,+44(0)141 496 0738,False,Pakistan
Patrick,2000-09-24,+44(0)306 9990393,True,Iran,27748,1975,07:47:10,160.216858,11.2119445,Melanie,2000-09-24,+44(0)306 9990393,True,Iran,27748,1975,07:47:10,160.216858,11.2119445,Morgan,2000-09-24,+44(0)306 9990393,True,Iran
Alison,1985-02-23,+44131 4960146,True,Lebanon,91624,1992,00:26:27,-109.166633,-88.2681455,Martha,1985-02-23,+44131 4960146,True,Lebanon,91624,1992,00:26:27,-109.166633,-88.2681455,Anthony,1985-02-23,+44131 4960146,True,Lebanon
Eric,2002-04-28,+44(0)808 1570454,True,Cameroon,05094,2012,06:40:31,28.146063,-1.167674,Angie,2002-04-28,+44(0)808 1570454,True,Cameroon,05094,2012,06:40:31,28.146063,-1.167674,Tyler,2002-04-28,+44(0)808 1570454,True,Cameroon
William,2018-11-27,(020) 74960727,False,Zambia,98073,1970,20:12:03,-78.202935,15.4925235,Wanda,2018-11-27,(020) 74960727,False,Zambia,98073,1970,20:12:03,-78.202935,15.4925235,Janet,2018-11-27,(020) 74960727,False,Zambia
Nathan,1986-02-10,(0306) 9990166,False,Mauritania,00646,1996,17:22:25,77.506012,36.740268,Kevin,1986-02-10,(0306) 9990166,False,Mauritania,00646,1996,17:22:25,77.506012,36.740268,Peter,1986-02-10,(0306) 9990166,False,Mauritania
Peter,1983-02-17,+44(0)1174960649,True,Germany,27146,1987,22:19:16,-60.122451,-34.031276,Angel,1983-02-17,+44(0)1174960649,True,Germany,27146,1987,22:19:16,-60.122451,-34.031276,Anthony,1983-02-17,+44(0)1174960649,True,Germany
Cheryl,1989-04-19,+44(0)141 496 0630,True,Chad,71554,2021,18:21:54,33.293399,-30.9069515,Pamela,1989-04-19,+44(0)141 496 0630,True,Chad,71554,2021,18:21:54,33.293399,-30.9069515,David,1989-04-19,+44(0)141 496 0630,True,Chad
Rebecca,1986-07-12,+44(0)116 4960465,True,Bosnia and Herzegovina,22478,1983,00:46:30,173.693875,-89.6304145,Rachel,1986-07-12,+44(0)116 4960465,True,Bosnia and Herzegovina,22478,1983,00:46:30,173.693875,-89.6304145,Paul,1986-07-12,+44(0)116 4960465,True,Bosnia and Herzegovina
Rachel,1991-09-28,(0114) 496 0763,False,Hungary,26405,1976,23:59:15,-12.746919,73.6450335,Reginald,1991-09-28,(0114) 496 0763,False,Hungary,26405,1976,23:59:15,-12.746919,73.6450335,Jerome,1991-09-28,(0114) 496 0763,False,Hungary
Catherine,1999-01-26,+44(0)292018481,True,Macedonia,45756,2016,17:56:47,-112.084791,59.877179,Jasmine,1999-01-26,+44(0)292018481,True,Macedonia,45756,2016,17:56:47,-112.084791,59.877179,Luke,1999-01-26,+44(0)292018481,True,Macedonia
Kenneth,1992-11-26,0117 496 0927,False,Greenland,38267,1989,08:45:35,73.937808,2.3286765,Leslie,1992-11-26,0117 496 0927,False,Greenland,38267,1989,08:45:35,73.937808,2.3286765,Joel,1992-11-26,0117 496 0927,False,Greenland
Dustin,2010-09-02,+44(0)115 4960441,True,Liberia,66877,1990,20:09:25,-132.439441,-67.3875145,Kristopher,2010-09-02,+44(0)115 4960441,True,Liberia,66877,1990,20:09:25,-132.439441,-67.3875145,James,2010-09-02,+44(0)115 4960441,True,Liberia
Krystal,2006-05-01,0141 496 0974,True,Armenia,29164,1999,05:28:06,43.612335,67.7938575,Richard,2006-05-01,0141 496 0974,True,Armenia,29164,1999,05:28:06,43.612335,67.7938575,Jason,2006-05-01,0141 496 0974,True,Armenia
Jeremy,2002-08-24,0115 4960370,False,Slovenia,76332,1975,07:41:39,-65.574412,-62.388100,Steven,2002-08-24,0115 4960370,False,Slovenia,76332,1975,07:41:39,-65.574412,-62.388100,Matthew,2002-08-24,0115 4960370,False,Slovenia
Christina,1991-09-18,+44(0)29 2018038,False,Vietnam,21236,2019,15:37:27,-58.289152,54.6782285,Amber,1991-09-18,+44(0)29 2018038,False,Vietnam,21236,2019,15:37:27,-58.289152,54.6782285,Melissa,1991-09-18,+44(0)29 2018038,False,Vietnam
Ian,1992-06-07,(0115)4960140,False,Paraguay,90858,1974,06:24:21,-69.429401,41.4825715,Stacey,1992-06-07,(0115)4960140,False,Paraguay,90858,1974,06:24:21,-69.429401,41.4825715,Michael,1992-06-07,(0115)4960140,False,Paraguay
Michael,1995-05-31,+44(0)1614960143,True,Uruguay,81759,1979,20:13:14,-86.671194,-31.2400755,Tony,1995-05-31,+44(0)1614960143,True,Uruguay,81759,1979,20:13:14,-86.671194,-31.2400755,Brett,1995-05-31,+44(0)1614960143,True,Uruguay
Michael,1977-12-13,+44(0)161 4960554,True,Slovenia,13270,1997,15:14:22,-14.167023,-11.742780,William,1977-12-13,+44(0)161 4960554,True,Slovenia,13270,1997,15:14:22,-14.167023,-11.742780,Brandi,1977-12-13,+44(0)161 4960554,True,Slovenia
Leon,1989-03-27,+44141 496 0703,False,Singapore,52085,2019,16:21:11,-91.242339,33.913119,Kyle,1989-03-27,+44141 496 0703,False,Singapore,52085,2019,16:21:11,-91.242339,33.913119,Erin,1989-03-27,+44141 496 0703,False,Singapore
Julie,1976-12-25,01174960176,True,Italy,00944,2019,03:32:51,-147.764469,57.0881375,Jessica,1976-12-25,01174960176,True,Italy,00944,2019,03:32:51,-147.764469,57.0881375,Kristina,1976-12-25,01174960176,True,Italy
Marie,1985-01-25,+44(0)1514960781,False,Palau,19579,2005,12:32:43,177.145489,-25.607566,Aaron,1985-01-25,+44(0)1514960781,False,Palau,19579,2005,12:32:43,177.145489,-25.607566,Scott,1985-01-25,+44(0)1514960781,False,Palau
Tina,1990-01-25,0151 496 0891,False,Vanuatu,29444,2015,08:06:43,-154.223053,54.647484,William,1990-01-25,0151 496 0891,False,Vanuatu,29444,2015,08:06:43,-154.223053,54.647484,Kathryn,1990-01-25,0151 496 0891,False,Vanuatu
Ashley,1976-03-06,(0151) 496 0403,False,Qatar,01622,1972,17:50:49,108.462793,-82.494205,Jay,1976-03-06,(0151) 496 0403,False,Qatar,01622,1972,17:50:49,108.462793,-82.494205,Samantha,1976-03-06,(0151) 496 0403,False,Qatar
Shannon,1975-03-03,+44(0)191 4960687,True,Colombia,76287,1981,05:24:18,-117.893979,-17.200735,Leslie,1975-03-03,+44(0)191 4960687,True,Colombia,76287,1981,05:24:18,-117.893979,-17.200735,Benjamin,1975-03-03,+44(0)191 4960687,True,Colombia
Robert,1982-05-14,+44(0)1164960721,True,Saint Barthelemy,65421,1996,02:46:59,50.687542,-81.3196915,Frank,1982-05-14,+44(0)1164960721,True,Saint Barthelemy,65421,1996,02:46:59,50.687542,-81.3196915,Jacob,1982-05-14,+44(0)1164960721,True,Saint Barthelemy
Robert,2019-07-27,(0118) 4960774,False,Lebanon,97586,2016,09:45:02,-7.571156,-78.8545465,Lisa,2019-07-27,(0118) 4960774,False,Lebanon,97586,2016,09:45:02,-7.571156,-78.8545465,James,2019-07-27,(0118) 4960774,False,Lebanon
Edward,1998-10-16,+44151 496 0236,True,South Africa,92039,2006,05:32:59,-77.358006,63.7949865,Amanda,1998-10-16,+44151 496 0236,True,South Africa,92039,2006,05:32:59,-77.358006,63.7949865,Belinda,1998-10-16,+44151 496 0236,True,South Africa
Tyler,1997-12-06,(028)9018947,True,Equatorial Guinea,75551,1989,19:44:59,69.957313,59.6505415,Darlene,1997-12-06,(028)9018947,True,Equatorial Guinea,75551,1989,19:44:59,69.957313,59.6505415,Jason,1997-12-06,(028)9018947,True,Equatorial Guinea
Stephanie,1974-04-28,+44(0)909 879 0436,True,Guatemala,15392,2010,21:37:37,-135.519902,9.6494725,Barbara,1974-04-28,+44(0)909 879 0436,True,Guatemala,15392,2010,21:37:37,-135.519902,9.6494725,Joyce,1974-04-28,+44(0)909 879 0436,True,Guatemala
Timothy,1996-11-01,0289018760,True,Zimbabwe,14215,2015,04:31:52,-94.956164,54.513419,Jennifer,1996-11-01,0289018760,True,Zimbabwe,14215,2015,04:31:52,-94.956164,54.513419,Samantha,1996-11-01,0289018760,True,Zimbabwe
Stacey,2015-09-24,+44(0)289018929,False,Heard Island and McDonald Islands,17197,2016,00:07:36,128.907991,-32.4370585,Alexandra,2015-09-24,+44(0)289018929,False,Heard Island and McDonald Islands,17197,2016,00:07:36,128.907991,-32.4370585,Nathan,2015-09-24,+44(0)289018929,False,Heard Island and McDonald Islands
Jaclyn,1994-11-14,01134960349,False,Egypt,39207,1998,19:06:22,126.319737,15.6497375,Zachary,1994-11-14,01134960349,False,Egypt,39207,1998,19:06:22,126.319737,15.6497375,Erin,1994-11-14,01134960349,False,Egypt
Cynthia,1979-06-06,0306 9990897,False,Lao People's Democratic Republic,37829,1981,20:37:29,47.663807,-89.3757835,Roberta,1979-06-06,0306 9990897,False,Lao People's Democratic Republic,37829,1981,20:37:29,47.663807,-89.3757835,Audrey,1979-06-06,0306 9990897,False,Lao People's Democratic Republic
Mark,1976-12-21,+44(0)151 4960622,True,Finland,91773,2012,11:20:48,153.249611,-87.514216,Robert,1976-12-21,+44(0)151 4960622,True,Finland,91773,2012,11:20:48,153.249611,-87.514216,Paula,1976-12-21,+44(0)151 4960622,True,Finland
Amber,1991-12-15,+44909 879 0522,True,Nicaragua,11706,1996,02:28:52,-49.713550,85.664000,Tyrone,1991-12-15,+44909 879 0522,True,Nicaragua,11706,1996,02:28:52,-49.713550,85.664000,Miranda,1991-12-15,+44909 879 0522,True,Nicaragua
Kimberly,2018-10-31,(029)2018357,False,Botswana,71514,2001,18:56:07,-14.963537,65.781758,Roy,2018-10-31,(029)2018357,False,Botswana,71514,2001,18:56:07,-14.963537,65.781758,Tina,2018-10-31,(029)2018357,False,Botswana
William,2016-11-04,01154960951,True,Qatar,44733,1976,12:29:43,59.719137,-29.4098215,Jose,2016-11-04,01154960951,True,Qatar,44733,1976,12:29:43,59.719137,-29.4098215,Diana,2016-11-04,01154960951,True,Qatar
Geoffrey,2020-11-09,+44(0)1414960780,True,Cook Islands,25158,2019,20:12:08,145.541948,85.254386,April,2020-11-09,+44(0)1414960780,True,Cook Islands,25158,2019,20:12:08,145.541948,85.254386,Patricia,2020-11-09,+44(0)1414960780,True,Cook Islands
Donna,2000-02-08,(01632)960005,True,Croatia,77992,1985,12:30:14,-167.193419,18.423510,Rachel,2000-02-08,(01632)960005,True,Croatia,77992,1985,12:30:14,-167.193419,18.423510,Amy,2000-02-08,(01632)960005,True,Croatia
Jessica,2016-12-22,+44131 4960996,False,Korea,83290,2003,18:32:12,158.827507,60.370027,Jeanette,2016-12-22,+44131 4960996,False,Korea,83290,2003,18:32:12,158.827507,60.370027,Michelle,2016-12-22,+44131 4960996,False,Korea
Lisa,2002-03-13,0161 4960349,True,Romania,32956,1990,19:16:36,-72.484229,81.9390765,Kevin,2002-03-13,0161 4960349,True,Romania,32956,1990,19:16:36,-72.484229,81.9390765,Anthony,2002-03-13,0161 4960349,True,Romania
Matthew,1978-03-09,(029) 2018 0881,False,Lao People's Democratic Republic,16302,1991,08:59:32,-155.526544,-31.767304,James,1978-03-09,(029) 2018 0881,False,Lao People's Democratic Republic,16302,1991,08:59:32,-155.526544,-31.767304,Troy,1978-03-09,(029) 2018 0881,False,Lao People's Democratic Republic
Andre,1987-11-18,(0161)4960122,True,Bahamas,10333,1990,04:02:21,18.450850,11.745003,Linda,1987-11-18,(0161)4960122,True,Bahamas,10333,1990,04:02:21,18.450850,11.745003,Alex,1987-11-18,(0161)4960122,True,Bahamas
Jennifer,1973-06-19,+441134960637,True,Italy,96163,1975,22:17:59,106.424347,7.2438545,Valerie,1973-06-19,+441134960637,True,Italy,96163,1975,22:17:59,106.424347,7.2438545,Stacy,1973-06-19,+441134960637,True,Italy
Jill,1997-01-22,(028) 9018599,True,Liechtenstein,04567,1990,11:51:52,97.786158,54.140874,Amy,1997-01-22,(028) 9018599,True,Liechtenstein,04567,1990,11:51:52,97.786158,54.140874,Mary,1997-01-22,(028) 9018599,True,Liechtenstein
John,1975-02-04,+44114 496 0236,False,Sudan,71685,2009,09:04:49,-0.386777,-87.530345,Brandi,1975-02-04,+44114 496 0236,False,Sudan,71685,2009,09:04:49,-0.386777,-87.530345,Chelsey,1975-02-04,+44114 496 0236,False,Sudan
Jim,2019-09-01,+44808 157 0194,True,Kenya,38487,1970,19:14:32,-60.393792,13.8547795,Maria,2019-09-01,+44808 157 0194,True,Kenya,38487,1970,19:14:32,-60.393792,13.8547795,Christian,2019-09-01,+44808 157 0194,True,Kenya
Eric,1998-10-07,0141 4960247,True,Mozambique,40063,2010,13:06:51,7.983814,57.938830,Katherine,1998-10-07,0141 4960247,True,Mozambique,40063,2010,13:06:51,7.983814,57.938830,Lisa,1998-10-07,0141 4960247,True,Mozambique
Donna,1983-03-18,0141 496 0829,False,Netherlands Antilles,01722,1976,11:00:35,27.890886,-10.8437255,William,1983-03-18,0141 496 0829,False,Netherlands Antilles,01722,1976,11:00:35,27.890886,-10.8437255,Cassandra,1983-03-18,0141 496 0829,False,Netherlands Antilles
Henry,2011-01-15,+44(0)116 496 0250,False,Lebanon,09830,2002,21:16:03,110.779246,-40.8604515,Billy,2011-01-15,+44(0)116 496 0250,False,Lebanon,09830,2002,21:16:03,110.779246,-40.8604515,Jamie,2011-01-15,+44(0)116 496 0250,False,Lebanon
Christopher,2002-01-03,09098790437,True,Aruba,24247,1998,18:25:18,-83.500855,-1.6403825,Carlos,2002-01-03,09098790437,True,Aruba,24247,1998,18:25:18,-83.500855,-1.6403825,John,2002-01-03,09098790437,True,Aruba
Alyssa,1984-11-25,+441632 960 823,False,Faroe Islands,21148,1979,20:40:01,-109.346061,-17.979727,Christopher,1984-11-25,+441632 960 823,False,Faroe Islands,21148,1979,20:40:01,-109.346061,-17.979727,Matthew,1984-11-25,+441632 960 823,False,Faroe Islands
Carla,1980-12-03,+44(0)113 496 0876,False,Kiribati,38881,1975,23:45:18,-88.263007,-19.5111175,Adam,1980-12-03,+44(0)113 496 0876,False,Kiribati,38881,1975,23:45:18,-88.263007,-19.5111175,Anita,1980-12-03,+44(0)113 496 0876,False,Kiribati
Jessica,1994-10-20,01914960752,True,Equatorial Guinea,28343,1979,20:43:09,-1.051745,66.1012775,Troy,1994-10-20,01914960752,True,Equatorial Guinea,28343,1979,20:43:09,-1.051745,66.1012775,Benjamin,1994-10-20,01914960752,True,Equatorial Guinea
Catherine,1983-01-28,(029)2018288,False,Croatia,19495,1988,02:10:44,74.049666,3.952276,Gregory,1983-01-28,(029)2018288,False,Croatia,19495,1988,02:10:44,74.049666,3.952276,Bryan,1983-01-28,(029)2018288,False,Croatia
William,1973-02-27,+44(0)9098790294,False,Guinea-Bissau,38936,1989,00:14:15,102.778340,21.1442995,Michael,1973-02-27,+44(0)9098790294,False,Guinea-Bissau,38936,1989,00:14:15,102.778340,21.1442995,Adam,1973-02-27,+44(0)9098790294,False,Guinea-Bissau
Alicia,2020-03-20,+44(0)9098790037,True,Serbia,37947,2011,17:01:02,57.501035,-55.313703,Zachary,2020-03-20,+44(0)9098790037,True,Serbia,37947,2011,17:01:02,57.501035,-55.313703,Tracy,2020-03-20,+44(0)9098790037,True,Serbia
Kristi,1981-07-19,(020) 7496 0789,True,Cape Verde,80839,1975,23:40:51,20.627973,-74.8174135,Kimberly,1981-07-19,(020) 7496 0789,True,Cape Verde,80839,1975,23:40:51,20.627973,-74.8174135,Christina,1981-07-19,(020) 7496 0789,True,Cape Verde
Rebecca,1987-11-06,028 9018926,False,Korea,29579,1985,01:41:15,144.629835,31.1812445,Joanna,1987-11-06,028 9018926,False,Korea,29579,1985,01:41:15,144.629835,31.1812445,Brandon,1987-11-06,028 9018926,False,Korea
Ashley,2002-01-21,+44(0)117 496 0819,True,Barbados,62083,2013,21:44:29,38.943558,79.113227,Adam,2002-01-21,+44(0)117 496 0819,True,Barbados,62083,2013,21:44:29,38.943558,79.113227,Jeffery,2002-01-21,+44(0)117 496 0819,True,Barbados
Sarah,1995-06-20,(01632) 960 540,True,Slovakia (Slovak Republic),07203,1975,00:20:09,-111.143485,89.9438775,Victor,1995-06-20,(01632) 960 540,True,Slovakia (Slovak Republic),07203,1975,00:20:09,-111.143485,89.9438775,Scott,1995-06-20,(01632) 960 540,True,Slovakia (Slovak Republic)
Erik,1995-05-10,+44(0)115 4960934,True,Zambia,09783,2012,00:21:43,49.746947,-28.6825215,Terri,1995-05-10,+44(0)115 4960934,True,Zambia,09783,2012,00:21:43,49.746947,-28.6825215,Mary,1995-05-10,+44(0)115 4960934,True,Zambia
Ralph,1988-05-18,+44(0)9098790668,True,Antarctica (the territory South of 60 deg S),59230,2019,14:09:42,157.201700,0.4104455,Tiffany,1988-05-18,+44(0)9098790668,True,Antarctica (the territory South of 60 deg S),59230,2019,14:09:42,157.201700,0.4104455,Joseph,1988-05-18,+44(0)9098790668,True,Antarctica (the territory South of 60 deg S)
Brenda,1990-12-28,0114 496 0719,False,Jordan,59099,1985,08:06:08,-8.955198,66.523582,Elijah,1990-12-28,0114 496 0719,False,Jordan,59099,1985,08:06:08,-8.955198,66.523582,Jocelyn,1990-12-28,0114 496 0719,False,Jordan
Erica,2007-02-28,+441164960296,True,Kiribati,76023,1990,13:46:59,-110.441457,-33.1957315,Kimberly,2007-02-28,+441164960296,True,Kiribati,76023,1990,13:46:59,-110.441457,-33.1957315,Edwin,2007-02-28,+441164960296,True,Kiribati
Kendra,1986-02-24,+44(0)29 2018 0571,True,Antigua and Barbuda,65874,1989,03:10:14,61.933103,-34.5587015,Phillip,1986-02-24,+44(0)29 2018 0571,True,Antigua and Barbuda,65874,1989,03:10:14,61.933103,-34.5587015,Jessica,1986-02-24,+44(0)29 2018 0571,True,Antigua and Barbuda
Patrick,2012-03-04,0113 4960290,True,Martinique,46311,2009,01:00:19,-89.168133,81.745612,Terri,2012-03-04,0113 4960290,True,Martinique,46311,2009,01:00:19,-89.168133,81.745612,Michelle,2012-03-04,0113 4960290,True,Martinique
Andrew,2014-02-25,+44(0)1314960235,True,Cambodia,53311,1978,06:25:56,168.973353,58.2561825,Colin,2014-02-25,+44(0)1314960235,True,Cambodia,53311,1978,06:25:56,168.973353,58.2561825,Matthew,2014-02-25,+44(0)1314960235,True,Cambodia
Brittany,2016-08-16,0121 496 0092,False,Saint Helena,71361,2002,20:51:29,32.530249,-76.673230,Katherine,2016-08-16,0121 496 0092,False,Saint Helena,71361,2002,20:51:29,32.530249,-76.673230,James,2016-08-16,0121 496 0092,False,Saint Helena
Shane,2015-08-18,0141 4960383,True,Mali,45082,1988,19:36:22,166.300102,57.564700,Tammy,2015-08-18,0141 4960383,True,Mali,45082,1988,19:36:22,166.300102,57.564700,Jaime,2015-08-18,0141 4960383,True,Mali
Michelle,2017-12-17,+44(0)1514960308,True,Andorra,24161,2001,14:42:09,103.492644,64.937382,Neil,2017-12-17,+44(0)1514960308,True,Andorra,24161,2001,14:42:09,103.492644,64.937382,Angela,2017-12-17,+44(0)1514960308,True,Andorra
Ashley,1989-06-28,(029)2018589,False,Tokelau,58936,1982,03:18:03,-18.918686,34.511424,Ryan,1989-06-28,(029)2018589,False,Tokelau,58936,1982,03:18:03,-18.918686,34.511424,Betty,1989-06-28,(029)2018589,False,Tokelau
Gary,1991-11-08,(0151) 4960673,False,Congo,11964,2006,18:42:52,33.697720,-5.910033,Deborah,1991-11-08,(0151) 4960673,False,Congo,11964,2006,18:42:52,33.697720,-5.910033,Dakota,1991-11-08,(0151) 4960673,False,Congo
Kimberly,2001-08-28,+44116 496 0183,False,Central African Republic,34559,1975,04:34:23,-23.234348,-20.907134,Michelle,2001-08-28,+44116 496 0183,False,Central African Republic,34559,1975,04:34:23,-23.234348,-20.907134,Calvin,2001-08-28,+44116 496 0183,False,Central African Republic
Justin,1988-01-21,+441164960748,True,Equatorial Guinea,82054,1984,20:05:06,-99.274926,6.127919,Cody,1988-01-21,+441164960748,True,Equatorial Guinea,82054,1984,20:05:06,-99.274926,6.127919,Elizabeth,1988-01-21,+441164960748,True,Equatorial Guinea
Nancy,1978-06-28,(0808) 157 0753,False,Congo,35268,1984,09:33:06,-150.731054,80.0051575,Brandon,1978-06-28,(0808) 157 0753,False,Congo,35268,1984,09:33:06,-150.731054,80.0051575,Jennifer,1978-06-28,(0808) 157 0753,False,Congo
Katie,1997-10-11,+44(0)3069990199,False,Aruba,19487,1984,06:09:02,174.198880,84.3674355,Rhonda,1997-10-11,+44(0)3069990199,False,Aruba,19487,1984,06:09:02,174.198880,84.3674355,Katelyn,1997-10-11,+44(0)3069990199,False,Aruba
Julie,1978-12-11,(0161)4960720,True,Armenia,30842,1999,02:24:02,142.569342,-8.9058465,Nathan,1978-12-11,(0161)4960720,True,Armenia,30842,1999,02:24:02,142.569342,-8.9058465,Susan,1978-12-11,(0161)4960720,True,Armenia
Craig,1977-03-21,01214960656,False,Ethiopia,29434,1976,02:39:22,-175.009866,70.1653255,Amber,1977-03-21,01214960656,False,Ethiopia,29434,1976,02:39:22,-175.009866,70.1653255,Brian,1977-03-21,01214960656,False,Ethiopia
Carolyn,1983-04-15,01184960620,True,Bhutan,65480,1993,13:05:23,-113.580010,-58.110153,Joseph,1983-04-15,01184960620,True,Bhutan,65480,1993,13:05:23,-113.580010,-58.110153,Jonathan,1983-04-15,01184960620,True,Bhutan
